timestamp,distFromStart,distRaced,curLapTime,angle,speed,trackPos,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18,rpm,gear,damage,wheel_0,wheel_1,wheel_2,wheel_3,steer,accel,brake
1782741980.6042004,3598.45,0.0,-0.962,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,5235.99,0.0,0.0,0.0,0.0,0.0,0.0,0.026209577545523645,1.0,0.0
1782741980.605201,3598.45,0.0,-0.942,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,5386.69,0.0,0.0,0.0,0.0,0.0,0.0,0.026727279089391234,1.0,0.0
1782741980.619191,3598.45,0.0,-0.922,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,5542.21,0.0,0.0,0.0,0.0,0.0,0.0,0.02726173773407936,1.0,0.0
1782741980.6371818,3598.45,0.0,-0.902,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,5702.71,0.0,0.0,0.0,0.0,0.0,0.0,0.02776348516345024,1.0,0.0
1782741980.6531742,3598.45,0.0,-0.882,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,5868.34,0.0,0.0,0.0,0.0,0.0,0.0,0.028242812678217887,1.0,0.0
1782741980.6881537,3598.45,0.0,-0.862,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,6039.26,0.0,0.0,0.0,0.0,0.0,0.0,0.028746668994426728,1.0,0.0
1782741980.7041426,3598.45,0.0,-0.842,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,6215.65,0.0,0.0,0.0,0.0,0.0,0.0,0.02965337298810482,1.0,0.0
1782741980.7201355,3598.45,0.0,-0.822,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,6397.68,0.0,0.0,0.0,0.0,0.0,0.0,0.03082755357027054,1.0,0.0
1782741980.7361245,3598.45,0.0,-0.802,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,6585.53,0.0,0.0,0.0,0.0,0.0,0.0,0.033332230523228645,1.0,0.0
1782741980.754116,3598.45,0.0,-0.782,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,6779.4,0.0,0.0,0.0,0.0,0.0,0.0,0.03639944382011891,1.0,0.0
1782741980.785751,3598.45,0.0,-0.762,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,6979.46,0.0,0.0,0.0,0.0,0.0,0.0,0.03930293843150139,1.0,0.0
1782741980.8047407,3598.45,0.0,-0.742,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,7185.91,0.0,0.0,0.0,0.0,0.0,0.0,0.041989737376570704,1.0,0.0
1782741980.820732,3598.45,0.0,-0.722,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,7398.97,0.0,0.0,0.0,0.0,0.0,0.0,0.04438002146780491,1.0,0.0
1782741980.8357277,3598.45,0.0,-0.702,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,7618.85,0.0,0.0,0.0,0.0,0.0,0.0,0.04651047326624393,1.0,0.0
1782741980.8537126,3598.45,0.0,-0.682,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,7845.75,0.0,0.0,0.0,0.0,0.0,0.0,0.048875205963850026,1.0,0.0
1782741980.8876936,3598.45,0.0,-0.662,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,8079.91,0.0,0.0,0.0,0.0,0.0,0.0,0.051465438678860664,1.0,0.0
1782741980.9026847,3598.45,0.0,-0.642,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,8321.56,0.0,0.0,0.0,0.0,0.0,0.0,0.053985119238495825,1.0,0.0
1782741980.9203026,3598.45,0.0,-0.622,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,8570.94,0.0,0.0,0.0,0.0,0.0,0.0,0.05599225647747517,1.0,0.0
1782741980.9362934,3598.45,0.0,-0.602,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,8828.3,0.0,0.0,0.0,0.0,0.0,0.0,0.05813751742243767,1.0,0.0
1782741980.9712737,3598.45,0.0,-0.582,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,9093.88,0.0,0.0,0.0,0.0,0.0,0.0,0.05921460539102554,1.0,0.0
1782741980.9862645,3598.45,0.0,-0.562,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,9367.96,0.0,0.0,0.0,0.0,0.0,0.0,0.06015896424651146,1.0,0.0
1782741981.0032563,3598.45,0.0,-0.542,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,9648.33,0.0,0.0,0.0,0.0,0.0,0.0,0.06113000437617302,1.0,0.0
1782741981.0222437,3598.45,0.0,-0.522,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,9928.97,0.0,0.0,0.0,0.0,0.0,0.0,0.06211766079068184,1.0,0.0
1782741981.0382347,3598.45,0.0,-0.502,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,10209.6,0.0,0.0,0.0,0.0,0.0,0.0,0.06310516968369484,1.0,0.0
1782741981.0542269,3598.45,0.0,-0.482,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,10490.3,0.0,0.0,0.0,0.0,0.0,0.0,0.06410084590315819,1.0,0.0
1782741981.088207,3598.45,0.0,-0.462,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,10770.9,0.0,0.0,0.0,0.0,0.0,0.0,0.06467307507991792,1.0,0.0
1782741981.1051974,3598.45,0.0,-0.442,0.00822276,-0.00913045,0.333439,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227,11051.5,0.0,0.0,0.0,0.0,0.0,0.0,0.06416617780923843,1.0,0.0
